i850-Ambient,ii850-Ambient,pixel,reflectance1,reflectance2,absorption1,absorption2
58167,102,1,6.94E-05,1.67E-07,,
56275,164,2,6.72E-05,2.68E-07,,
54076,131,3,6.45E-05,2.14E-07,,
52316,179,4,6.24E-05,2.93E-07,,
49981,123,5,5.96E-05,2.01E-07,,
48179,155,6,5.75E-05,2.53E-07,,
46116,187,7,5.50E-05,3.06E-07,,
44309,144,8,5.29E-05,2.35E-07,,
42161,134,9,5.03E-05,2.19E-07,,
40539,169,10,4.84E-05,2.76E-07,,
38921,205,11,4.64E-05,3.35E-07,,
37138,205,12,4.43E-05,3.35E-07,,
35499,251,13,4.24E-05,4.10E-07,,
33905,254,14,4.05E-05,4.15E-07,,
32652,208,15,3.90E-05,3.40E-07,,
31086,203,16,3.71E-05,3.32E-07,,
29739,253,17,3.55E-05,4.13E-07,,
28633,304,18,3.42E-05,4.97E-07,,
27432,280,19,3.27E-05,4.58E-07,,
26178,271,20,3.12E-05,4.43E-07,,
25335,316,21,3.02E-05,5.16E-07,,
24087,283,22,2.87E-05,4.63E-07,,
23006,270,23,2.75E-05,4.41E-07,,
22094,355,24,2.64E-05,5.80E-07,,
21128,342,25,2.52E-05,5.59E-07,,
20304,344,26,2.42E-05,5.62E-07,,
19392,324,27,2.31E-05,5.30E-07,,
18639,418,28,2.22E-05,6.83E-07,,
17984,407,29,2.15E-05,6.65E-07,,
17230,458,30,2.06E-05,7.49E-07,,
16316,419,31,1.95E-05,6.85E-07,,
15777,442,32,1.88E-05,7.22E-07,,
15103,435,33,1.80E-05,7.11E-07,,
14437,499,34,1.72E-05,8.16E-07,,
13934,509,35,1.66E-05,8.32E-07,,
13339,523,36,1.59E-05,8.55E-07,,
12868,510,37,1.54E-05,8.34E-07,,
12304,583,38,1.47E-05,9.53E-07,,
12076,591,39,1.44E-05,9.66E-07,,
11390,624,40,1.36E-05,1.02E-06,,
10868,636,41,1.30E-05,1.04E-06,,
10398,696,42,1.24E-05,1.14E-06,,
10011,720,43,1.19E-05,1.18E-06,,
9683,712,44,1.16E-05,1.16E-06,,
9257,746,45,1.10E-05,1.22E-06,,
8880,773,46,1.06E-05,1.26E-06,,
8568,883,47,1.02E-05,1.44E-06,,
8211,878,48,9.80E-06,1.43E-06,,
7943,872,49,9.48E-06,1.43E-06,,
7608,894,50,9.08E-06,1.46E-06,,
7363,968,51,8.79E-06,1.58E-06,,
7104,993,52,8.48E-06,1.62E-06,,
6833,1039,53,8.15E-06,1.70E-06,,
6526,1068,54,7.79E-06,1.75E-06,,
6301,1081,55,7.52E-06,1.77E-06,,
6134,1121,56,7.32E-06,1.83E-06,,
5905,1214,57,7.05E-06,1.98E-06,,
5671,1238,58,6.77E-06,2.02E-06,,
5425,1303,59,6.47E-06,2.13E-06,,
5231,1354,60,6.24E-06,2.21E-06,,
5024,1368,61,6.00E-06,2.24E-06,,
4816,1461,62,5.75E-06,2.39E-06,,
4699,1499,63,5.61E-06,2.45E-06,,
4502,1574,64,5.37E-06,2.57E-06,,
4333,1635,65,5.17E-06,2.67E-06,,
4178,1710,66,4.99E-06,2.79E-06,,
3969,1736,67,4.74E-06,2.84E-06,,
3892,1827,68,4.64E-06,2.99E-06,,
3712,1923,69,4.43E-06,3.14E-06,,
3569,1962,70,4.26E-06,3.21E-06,,
3448,2064,71,4.11E-06,3.37E-06,,
3359,2164,72,4.01E-06,3.54E-06,,
3225,2263,73,3.85E-06,3.70E-06,,
3121,2376,74,3.72E-06,3.88E-06,,
2956,2413,75,3.53E-06,3.94E-06,,
2888,2510,76,3.45E-06,4.10E-06,,
2742,2584,77,3.27E-06,4.22E-06,,
2636,2735,78,3.15E-06,4.47E-06,,
2609,2848,79,3.11E-06,4.65E-06,,
2455,2938,80,2.93E-06,4.80E-06,,
2356,3069,81,2.81E-06,5.02E-06,,
2275,3206,82,2.71E-06,5.24E-06,,
2198,3365,83,2.62E-06,5.50E-06,,
2134,3482,84,2.55E-06,5.69E-06,,
2063,3658,85,2.46E-06,5.98E-06,,
1959,3786,86,2.34E-06,6.19E-06,,
1900,3943,87,2.27E-06,6.44E-06,,
1810,4064,88,2.16E-06,6.64E-06,,
1776,4310,89,2.12E-06,7.04E-06,,
1717,4496,90,2.05E-06,7.35E-06,,
1646,4678,91,1.96E-06,7.65E-06,,
1546,4866,92,1.84E-06,7.95E-06,,
1514,5026,93,1.81E-06,8.21E-06,,
1439,5335,94,1.72E-06,8.72E-06,,
1375,5527,95,1.64E-06,9.03E-06,,
1325,5735,96,1.58E-06,9.37E-06,,
1231,6007,97,1.47E-06,9.82E-06,,
1271,6440,98,1.52E-06,1.05E-05,,
1218,6610,99,1.45E-06,1.08E-05,,
1141,6858,100,1.36E-06,1.12E-05,,
1135,7142,101,1.35E-06,1.17E-05,,
1062,7529,102,1.27E-06,1.23E-05,,
1025,7840,103,1.22E-06,1.28E-05,,
997,8257,104,1.19E-06,1.35E-05,,
950,8568,105,1.13E-06,1.40E-05,,
894,8918,106,1.07E-06,1.46E-05,,
919,9438,107,1.10E-06,1.54E-05,,
852,9900,108,1.02E-06,1.62E-05,,
798,10282,109,9.52E-07,1.68E-05,,
834,10859,110,9.95E-07,1.77E-05,,
760,11351,111,9.07E-07,1.86E-05,,
721,11915,112,8.60E-07,1.95E-05,,
667,12386,113,7.96E-07,2.02E-05,,
653,13036,114,7.79E-07,2.13E-05,,
706,13656,115,8.43E-07,2.23E-05,,
602,14271,116,7.18E-07,2.33E-05,,
628,14967,117,7.49E-07,2.45E-05,,
574,15742,118,6.85E-07,2.57E-05,,
569,16434,119,6.79E-07,2.69E-05,,
555,17173,120,6.62E-07,2.81E-05,,
512,17989,121,6.11E-07,2.94E-05,,
518,18899,122,6.18E-07,3.09E-05,,
484,19762,123,5.78E-07,3.23E-05,,
458,20744,124,5.47E-07,3.39E-05,,
436,21546,125,5.20E-07,3.52E-05,,
461,22463,126,5.50E-07,3.67E-05,,
437,23466,127,5.22E-07,3.84E-05,,
395,24464,128,4.71E-07,4.00E-05,,
